2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.utils | Running command: where yarn
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: yarn
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.utils | Running command: where cargo
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: cargo
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.utils | Running command: where gem
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: gem
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.utils | Running command: where go
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.package_managers | Package manager not found: go
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.analyzer | Running inspector: processes
2026-07-22 22:54:36 | DEBUG    | devpilot.inspector.processes | Collecting process information.
2026-07-22 22:54:38 | DEBUG    | devpilot.inspector.analyzer | Running inspector: services
2026-07-22 22:54:38 | DEBUG    | devpilot.inspector.services | Collecting Windows services information.
2026-07-22 22:54:38 | WARNING  | devpilot.inspector.services | Failed to read service entry: [WinError 2] The system cannot find the file specified: '(originated from QueryServiceConfig2W)'
2026-07-22 22:54:38 | DEBUG    | devpilot.inspector.analyzer | Running inspector: security
2026-07-22 22:54:38 | DEBUG    | devpilot.inspector.security | Collecting security information.
2026-07-22 22:54:38 | DEBUG    | devpilot.inspector.utils | Running command: reg query "HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System" /v EnableLUA
2026-07-22 22:54:38 | DEBUG    | devpilot.inspector.utils | Running command: powershell -NoProfile -Command "Get-CimInstance -Namespace root/SecurityCenter2 -ClassName AntiVirusProduct | Select-Object -ExpandProperty displayName"
2026-07-22 22:54:39 | DEBUG    | devpilot.inspector.utils | Running command: netsh advfirewall show allprofiles state
2026-07-22 22:54:39 | DEBUG    | devpilot.inspector.utils | Running command: powershell -NoProfile -Command Confirm-SecureBootUEFI
2026-07-22 22:54:39 | DEBUG    | devpilot.inspector.utils | Running command: powershell -NoProfile -Command "(Get-Tpm).TpmPresent"
2026-07-22 22:54:40 | DEBUG    | devpilot.inspector.analyzer | Running inspector: environment
2026-07-22 22:54:40 | DEBUG    | devpilot.inspector.environment | Collecting environment information.
2026-07-22 22:54:40 | DEBUG    | devpilot.inspector.analyzer | Running inspector: permissions
2026-07-22 22:54:40 | DEBUG    | devpilot.inspector.permissions | Checking runtime permissions.
2026-07-22 22:54:40 | DEBUG    | devpilot.inspector.utils | Running command: wevtutil qe System /c:1 /rd:true /f:text
2026-07-22 22:54:40 | INFO     | devpilot.inspector.analyzer | System inspection complete — status: Warning
2026-07-22 22:54:40 | INFO     | devpilot.inspector.inspector | Analysis complete — overall status: Warning
2026-07-22 22:56:02 | INFO     | devpilot.inspector.inspector | SystemInspector.analyze() called.
2026-07-22 22:56:02 | INFO     | devpilot.inspector.analyzer | Starting full system inspection.
2026-07-22 22:56:02 | DEBUG    | devpilot.inspector.analyzer | Running inspector: system
2026-07-22 22:56:02 | DEBUG    | devpilot.inspector.system | Collecting system information.
2026-07-22 22:56:02 | DEBUG    | devpilot.inspector.cpu | Initialising CPUInspector — fetching cpuinfo (may take a moment).
2026-07-22 22:56:04 | DEBUG    | devpilot.inspector.analyzer | Running inspector: cpu
2026-07-22 22:56:04 | DEBUG    | devpilot.inspector.cpu | Collecting CPU information.
2026-07-22 22:56:06 | DEBUG    | devpilot.inspector.analyzer | Running inspector: memory
2026-07-22 22:56:06 | DEBUG    | devpilot.inspector.memory | Collecting memory information.
2026-07-22 22:56:06 | DEBUG    | devpilot.inspector.analyzer | Running inspector: disk
2026-07-22 22:56:06 | DEBUG    | devpilot.inspector.disk | Collecting disk information.
2026-07-22 22:56:06 | DEBUG    | devpilot.inspector.analyzer | Running inspector: gpu
